car_make,id1,car_model,id2,link
Maserati,16600,Merak,19,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;19&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Quattroporte,20,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;20&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Shamal,22,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;22&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Spyder,23,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;23&ref=quickSearch&sfmr=false&vc=Car
Maserati,16600,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16600;1&ref=quickSearch&sfmr=false&vc=Car
Maybach,16700,57,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16700;2&ref=quickSearch&sfmr=false&vc=Car
Maybach,16700,62,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16700;3&ref=quickSearch&sfmr=false&vc=Car
Maybach,16700,Pullman,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16700;4&ref=quickSearch&sfmr=false&vc=Car
Maybach,16700,Other,1,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16700;1&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,121,2,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;2&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,2,3,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;3&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,3,4,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;4&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,323,5,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;5&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,5,6,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;6&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,6,7,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;7&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,626,8,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;8&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,929,9,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;9&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,Bongo,23,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;23&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,B series,10,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;10&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,BT-50,28,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;28&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,CX-3,34,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;34&ref=quickSearch&sfmr=false&vc=Car
Mazda,16800,CX-30,42,https://suchen.mobile.de/fahrzeuge/search.html?dam=0&isSearchRequest=true&ms=16800;42&ref=quickSearch&sfmr=false&vc=Car
